title,genres,Plot
November Rain,,Unusual rain in November brings change into the life of Aayush and Sheetal.
Katha Kathmandu,"Romance, Drama","Stories of... Lust, Love & Life"
Mayabi,Romance,"The story follows Joy, a cheerful and kind person, who falls in love with Arya, a doctor influenced by traditional values. As their bond grows, they face many challenges that put their love to the test. The film explores whether they can overcome these obstacles and confess their love before time runs out."
Aadha Love,,"Adha Love is a commentary on the contemporary Nepali society and draws our attention to the evolving dynamics of relationships, which is slowly but certainly shaping the emergent understanding of urban life. The film is an unforgettable tour through the lives of five different families, who despite being the resident of the same apartment are living worlds apart, trying to untangle the threads of love and life to find meaning and contentment. This is the story of every individual, who is trying to find his/her share of love and happiness in a society, where both the things are in short supply."
Narasimha Avatar,Drama,"Set in Kathmandu, Narsimha Avatar is an action thriller in which a feared gangster’s empire is challenged by a mysterious masked vigilante, while a disgraced cop seeking revenge and a young man haunted by a hidden past become entangled in a web of crime, justice, and destiny."
Shatru Gatey,"Romance, Drama, Comedy","When a young couple attempts to tie the knot, their love is tested by a manipulative neighbor and political friction, leading to a hilarious yet chaotic series of events."
Hami Teen Bhai,"Thriller, Drama, Romance",A heartwarming family drama about the unbreakable bond between three brothers.
Romeo & Muna,"Romance, Drama, Comedy",Muna and Ved make a bet which changes their lives forever.
Subha Love,"Romance, Drama",
Suntali,"Comedy, Drama","The power in a small rural Nepalese village with a strong maternal tradition revolves around Chinmaya. The entire village is busy preparing for wedding of her son when the groom's ex-lover, Suntali, shows up with a mean-looking man. Chinmaya is annoyed that the village men are intrigued by the beautiful Suntali, who has returned to take revenge on Chinmaya for banishing her from the village in the past. Chinmaya suspects Suntali's vengeful intentions, which the younger woman slowly puts into practice, and devices a scheme to get rid of her."
Kahan Bhetiyela,"Romance, Drama",Young traveler Abhishek falls in love with a dancer Muna at a highway restaurant. Both of them attempt to escape from the goons who don't want Muna to get away from their oppression.
Paran,"Family, Drama","A heartfelt family drama about Dharmanath, who treasures his children as his “essence of life” and dreams of growing old in their love. Set in Dhankuta, the film beautifully portrays love, legacy, and the true meaning of family."
Flash Back: Farkera Herda,Romance,"A boy comes back to Nepal to attend a wedding. However, he meets a village girl and instantly falls in love with her."
Jhingedaau 2,"Drama, Family",Plot to be announced.
Ghatak 'The Thriller',Thriller,"Ghatak 'The Thriller' is a Nepali movie released on February 15, 2008. It is an action-thriller directed by Ramji Lamichhane and produced by Prabhu Shamsher Jung Bahadur Rana. "
sadanga,Action,"Kalu Yadav frees Vicky from prison and works under crime boss Raja. A police raid ruins Raja’s drug deal, and Kalu suspects rival gangster Bhalu. Salina secretly cheats on Raja with Vicky. Kalu becomes the main suspect in a builder’s murder and faces pressure from Raja. After learning Bhalu tipped off the police, Kalu kills him but Raja abandons Kalu. In hiding, Kalu partners with Malik Bhai and plans to kill Raja. Kalu and Vicky murder Raja and bury his body. The money Vicky gives Kalu turns out to be fake. A violent fight breaks out between Kalu and Vicky. The DSP kills both of them, revealing Salina planned everything to take Raja’s property and leave with another man."
Ghar,,Ghar (Nepali: घर; transl. House) is a 2019 Nepali horror film written and directed by Arpan Thapa under the banner of DS Digital in association with ASAP Entertainment.
Lily Bily,"Drama, Romance","Aabvash and Shrutee meet in Scotland. Despite their different backgrounds, they discover they are soulmates and, through their growing bond, learn to embrace and love themselves."
